75_part2_sec69_frame0_player_1.jpg: H=34, S=136, V=15
75_part2_sec69_frame0_player_6.jpg: H=69, S=54, V=33
75_part2_sec69_frame0_player_8.jpg: H=103, S=55, V=42
75_part2_sec69_frame0_player_10.jpg: H=75, S=50, V=41
75_part2_sec69_frame0_player_13.jpg: H=44, S=90, V=31
75_part2_sec69_frame0_player_15.jpg: H=60, S=7, V=37
75_part2_sec69_frame1008_player_0.jpg: H=34, S=64, V=56
75_part2_sec69_frame1008_player_2.jpg: H=37, S=68, V=49
75_part2_sec69_frame1008_player_5.jpg: H=33, S=81, V=38
75_part2_sec69_frame1008_player_12.jpg: H=30, S=54, V=52
75_part2_sec69_frame1008_player_13.jpg: H=33, S=81, V=57
75_part2_sec69_frame1020_player_1.jpg: H=33, S=62, V=49
75_part2_sec69_frame1020_player_3.jpg: H=28, S=64, V=48
75_part2_sec69_frame1020_player_4.jpg: H=24, S=113, V=36
75_part2_sec69_frame1020_player_10.jpg: H=37, S=69, V=48
75_part2_sec69_frame1020_player_11.jpg: H=28, S=70, V=55
75_part2_sec69_frame1032_player_0.jpg: H=32, S=71, V=47
75_part2_sec69_frame1032_player_1.jpg: H=34, S=79, V=45
75_part2_sec69_frame1032_player_11.jpg: H=35, S=91, V=53
75_part2_sec69_frame1032_player_12.jpg: H=32, S=66, V=54
75_part2_sec69_frame1032_player_14.jpg: H=24, S=74, V=52
75_part2_sec69_frame1044_player_0.jpg: H=30, S=64, V=52
75_part2_sec69_frame1044_player_2.jpg: H=36, S=72, V=53
75_part2_sec69_frame1044_player_9.jpg: H=32, S=73, V=49
75_part2_sec69_frame1044_player_10.jpg: H=36, S=77, V=53
75_part2_sec69_frame1056_player_1.jpg: H=32, S=67, V=53
75_part2_sec69_frame1056_player_2.jpg: H=34, S=104, V=54
75_part2_sec69_frame1056_player_6.jpg: H=46, S=56, V=59
75_part2_sec69_frame1056_player_7.jpg: H=43, S=62, V=49
75_part2_sec69_frame1068_player_1.jpg: H=34, S=77, V=50
75_part2_sec69_frame1068_player_3.jpg: H=46, S=61, V=54
75_part2_sec69_frame1068_player_6.jpg: H=36, S=68, V=56
75_part2_sec69_frame1080_player_0.jpg: H=65, S=36, V=43
75_part2_sec69_frame1080_player_1.jpg: H=32, S=66, V=54
75_part2_sec69_frame1080_player_5.jpg: H=51, S=50, V=51
75_part2_sec69_frame1080_player_6.jpg: H=37, S=83, V=52
75_part2_sec69_frame1092_player_0.jpg: H=30, S=65, V=55
75_part2_sec69_frame1092_player_1.jpg: H=30, S=57, V=49
75_part2_sec69_frame1092_player_2.jpg: H=45, S=68, V=45
75_part2_sec69_frame1092_player_3.jpg: H=48, S=47, V=54
75_part2_sec69_frame1092_player_5.jpg: H=36, S=74, V=48
75_part2_sec69_frame1104_player_0.jpg: H=42, S=64, V=52
75_part2_sec69_frame1104_player_1.jpg: H=30, S=69, V=52
75_part2_sec69_frame1104_player_8.jpg: H=38, S=70, V=55
75_part2_sec69_frame1104_player_9.jpg: H=37, S=81, V=57
75_part2_sec69_frame1116_player_3.jpg: H=35, S=75, V=58
75_part2_sec69_frame1116_player_5.jpg: H=46, S=54, V=52
75_part2_sec69_frame1116_player_11.jpg: H=34, S=77, V=50
75_part2_sec69_frame1116_player_12.jpg: H=60, S=28, V=46
75_part2_sec69_frame1128_player_1.jpg: H=36, S=65, V=59
75_part2_sec69_frame1128_player_3.jpg: H=44, S=56, V=50
75_part2_sec69_frame1128_player_5.jpg: H=42, S=58, V=57
75_part2_sec69_frame1128_player_6.jpg: H=34, S=75, V=51
75_part2_sec69_frame1140_player_0.jpg: H=98, S=32, V=32
75_part2_sec69_frame1140_player_2.jpg: H=105, S=21, V=48
75_part2_sec69_frame1152_player_0.jpg: H=120, S=6, V=42
75_part2_sec69_frame1152_player_1.jpg: H=102, S=39, V=33
75_part2_sec69_frame1164_player_0.jpg: H=150, S=5, V=47
75_part2_sec69_frame1164_player_1.jpg: H=113, S=39, V=26
75_part2_sec69_frame1176_player_0.jpg: H=135, S=12, V=44
75_part2_sec69_frame1176_player_2.jpg: H=114, S=49, V=26
75_part2_sec69_frame1188_player_2.jpg: H=0, S=9, V=27
75_part2_sec69_frame1188_player_3.jpg: H=0, S=26, V=50
75_part2_sec69_frame12_player_2.jpg: H=90, S=43, V=42
75_part2_sec69_frame12_player_6.jpg: H=75, S=39, V=39
75_part2_sec69_frame12_player_9.jpg: H=69, S=57, V=45
75_part2_sec69_frame12_player_12.jpg: H=30, S=32, V=40
75_part2_sec69_frame12_player_13.jpg: H=75, S=32, V=32
75_part2_sec69_frame12_player_14.jpg: H=45, S=70, V=44
75_part2_sec69_frame1200_player_0.jpg: H=130, S=17, V=45
75_part2_sec69_frame1200_player_1.jpg: H=132, S=22, V=58
75_part2_sec69_frame1212_player_0.jpg: H=120, S=22, V=35
75_part2_sec69_frame1212_player_1.jpg: H=135, S=41, V=37
75_part2_sec69_frame1224_player_0.jpg: H=70, S=40, V=19
75_part2_sec69_frame1224_player_1.jpg: H=120, S=16, V=16
75_part2_sec69_frame1236_player_1.jpg: H=60, S=46, V=11
75_part2_sec69_frame1236_player_2.jpg: H=0, S=0, V=2
75_part2_sec69_frame1248_player_0.jpg: H=45, S=43, V=12
75_part2_sec69_frame1248_player_1.jpg: H=75, S=43, V=12
75_part2_sec69_frame1248_player_2.jpg: H=160, S=59, V=13
75_part2_sec69_frame1260_player_0.jpg: H=45, S=34, V=15
75_part2_sec69_frame1260_player_1.jpg: H=60, S=26, V=10
75_part2_sec69_frame1260_player_2.jpg: H=162, S=85, V=15
75_part2_sec69_frame1272_player_0.jpg: H=120, S=50, V=46
75_part2_sec69_frame1272_player_5.jpg: H=11, S=58, V=35
75_part2_sec69_frame1272_player_7.jpg: H=10, S=59, V=39
75_part2_sec69_frame1284_player_0.jpg: H=117, S=62, V=45
75_part2_sec69_frame1284_player_3.jpg: H=10, S=219, V=7
75_part2_sec69_frame1296_player_0.jpg: H=120, S=62, V=45
75_part2_sec69_frame1296_player_1.jpg: H=9, S=85, V=48
75_part2_sec69_frame1296_player_4.jpg: H=9, S=52, V=49
75_part2_sec69_frame1296_player_7.jpg: H=170, S=20, V=39
75_part2_sec69_frame1296_player_10.jpg: H=11, S=38, V=54
75_part2_sec69_frame1296_player_11.jpg: H=9, S=88, V=55
75_part2_sec69_frame1308_player_3.jpg: H=11, S=58, V=35
75_part2_sec69_frame1308_player_5.jpg: H=165, S=13, V=38
75_part2_sec69_frame1308_player_7.jpg: H=9, S=48, V=53
75_part2_sec69_frame132_player_0.jpg: H=84, S=125, V=55
75_part2_sec69_frame132_player_4.jpg: H=97, S=79, V=55
75_part2_sec69_frame1320_player_1.jpg: H=11, S=60, V=34
75_part2_sec69_frame1320_player_4.jpg: H=9, S=78, V=46
75_part2_sec69_frame1320_player_6.jpg: H=9, S=48, V=37
75_part2_sec69_frame1320_player_10.jpg: H=175, S=46, V=33
75_part2_sec69_frame1332_player_2.jpg: H=13, S=56, V=55
75_part2_sec69_frame1332_player_3.jpg: H=6, S=62, V=41
75_part2_sec69_frame1332_player_4.jpg: H=8, S=91, V=42
75_part2_sec69_frame1332_player_7.jpg: H=12, S=87, V=53
75_part2_sec69_frame1332_player_8.jpg: H=0, S=16, V=48
75_part2_sec69_frame1344_player_1.jpg: H=45, S=64, V=8
75_part2_sec69_frame1344_player_2.jpg: H=30, S=71, V=18
75_part2_sec69_frame1344_player_3.jpg: H=45, S=57, V=9
75_part2_sec69_frame1344_player_4.jpg: H=60, S=51, V=20
75_part2_sec69_frame1344_player_5.jpg: H=0, S=38, V=20
75_part2_sec69_frame1356_player_0.jpg: H=70, S=85, V=9
75_part2_sec69_frame1356_player_1.jpg: H=15, S=64, V=8
75_part2_sec69_frame1356_player_2.jpg: H=45, S=51, V=10
75_part2_sec69_frame1356_player_3.jpg: H=8, S=44, V=23
75_part2_sec69_frame1356_player_4.jpg: H=150, S=78, V=13
75_part2_sec69_frame1368_player_0.jpg: H=45, S=51, V=20
75_part2_sec69_frame1368_player_1.jpg: H=0, S=46, V=11
75_part2_sec69_frame1368_player_2.jpg: H=24, S=58, V=22
75_part2_sec69_frame1380_player_0.jpg: H=30, S=34, V=15
75_part2_sec69_frame1380_player_1.jpg: H=34, S=71, V=25
75_part2_sec69_frame1380_player_2.jpg: H=53, S=34, V=30
75_part2_sec69_frame1380_player_3.jpg: H=30, S=28, V=9
75_part2_sec69_frame1380_player_4.jpg: H=15, S=87, V=35
75_part2_sec69_frame1392_player_0.jpg: H=30, S=40, V=19
75_part2_sec69_frame1392_player_1.jpg: H=18, S=51, V=25
75_part2_sec69_frame1392_player_2.jpg: H=53, S=51, V=20
75_part2_sec69_frame1392_player_3.jpg: H=15, S=77, V=20
75_part2_sec69_frame1404_player_0.jpg: H=10, S=77, V=10
75_part2_sec69_frame1404_player_1.jpg: H=15, S=36, V=14
75_part2_sec69_frame1404_player_2.jpg: H=25, S=36, V=43
75_part2_sec69_frame1404_player_3.jpg: H=50, S=85, V=9
75_part2_sec69_frame1404_player_4.jpg: H=130, S=54, V=57
75_part2_sec69_frame1416_player_0.jpg: H=40, S=85, V=9
75_part2_sec69_frame1416_player_1.jpg: H=30, S=73, V=7
75_part2_sec69_frame1416_player_3.jpg: H=60, S=64, V=8
75_part2_sec69_frame1416_player_4.jpg: H=30, S=38, V=20
75_part2_sec69_frame1428_player_0.jpg: H=19, S=89, V=60
75_part2_sec69_frame1428_player_1.jpg: H=30, S=64, V=4
75_part2_sec69_frame1428_player_2.jpg: H=40, S=85, V=9
75_part2_sec69_frame1428_player_4.jpg: H=60, S=43, V=12
75_part2_sec69_frame1428_player_5.jpg: H=30, S=48, V=16
75_part2_sec69_frame1428_player_6.jpg: H=60, S=85, V=6
75_part2_sec69_frame144_player_3.jpg: H=102, S=115, V=40
75_part2_sec69_frame1440_player_1.jpg: H=23, S=57, V=18
75_part2_sec69_frame1440_player_2.jpg: H=45, S=46, V=11
75_part2_sec69_frame1440_player_3.jpg: H=45, S=73, V=14
75_part2_sec69_frame1440_player_4.jpg: H=15, S=34, V=15
75_part2_sec69_frame1440_player_5.jpg: H=50, S=109, V=7
75_part2_sec69_frame1452_player_2.jpg: H=10, S=88, V=26
75_part2_sec69_frame1452_player_3.jpg: H=45, S=34, V=15
75_part2_sec69_frame1452_player_4.jpg: H=60, S=28, V=9
75_part2_sec69_frame1452_player_5.jpg: H=50, S=55, V=14
75_part2_sec69_frame1464_player_0.jpg: H=15, S=35, V=29
75_part2_sec69_frame1464_player_1.jpg: H=50, S=36, V=21
75_part2_sec69_frame1464_player_2.jpg: H=50, S=40, V=19
75_part2_sec69_frame1464_player_3.jpg: H=19, S=85, V=24
75_part2_sec69_frame1464_player_4.jpg: H=10, S=36, V=21
75_part2_sec69_frame1464_player_5.jpg: H=60, S=34, V=15
75_part2_sec69_frame1464_player_7.jpg: H=26, S=85, V=24
75_part2_sec69_frame1476_player_0.jpg: H=75, S=24, V=42
75_part2_sec69_frame1476_player_1.jpg: H=39, S=32, V=55
75_part2_sec69_frame1476_player_2.jpg: H=60, S=30, V=51
75_part2_sec69_frame1476_player_4.jpg: H=165, S=33, V=47
75_part2_sec69_frame1476_player_7.jpg: H=40, S=13, V=57
75_part2_sec69_frame1476_player_8.jpg: H=45, S=24, V=43
75_part2_sec69_frame1488_player_0.jpg: H=49, S=37, V=55
75_part2_sec69_frame1488_player_1.jpg: H=90, S=5, V=48
75_part2_sec69_frame1488_player_4.jpg: H=163, S=35, V=51
75_part2_sec69_frame1488_player_6.jpg: H=23, S=104, V=44
75_part2_sec69_frame1488_player_7.jpg: H=45, S=12, V=43
75_part2_sec69_frame1488_player_10.jpg: H=171, S=32, V=56
75_part2_sec69_frame1500_player_0.jpg: H=42, S=27, V=48
75_part2_sec69_frame1500_player_2.jpg: H=70, S=21, V=37
75_part2_sec69_frame1500_player_5.jpg: H=120, S=21, V=37
75_part2_sec69_frame1500_player_7.jpg: H=15, S=28, V=54
75_part2_sec69_frame1500_player_8.jpg: H=139, S=66, V=54
75_part2_sec69_frame1500_player_9.jpg: H=163, S=42, V=54
75_part2_sec69_frame1500_player_11.jpg: H=163, S=45, V=40
75_part2_sec69_frame1500_player_12.jpg: H=105, S=20, V=52
75_part2_sec69_frame1512_player_3.jpg: H=35, S=32, V=48
75_part2_sec69_frame1512_player_4.jpg: H=161, S=42, V=49
75_part2_sec69_frame1512_player_7.jpg: H=105, S=15, V=35
75_part2_sec69_frame1512_player_8.jpg: H=120, S=25, V=41
75_part2_sec69_frame1512_player_9.jpg: H=70, S=15, V=51
75_part2_sec69_frame1524_player_2.jpg: H=32, S=69, V=48
75_part2_sec69_frame1536_player_6.jpg: H=34, S=97, V=55
75_part2_sec69_frame1548_player_2.jpg: H=31, S=104, V=54
75_part2_sec69_frame156_player_2.jpg: H=88, S=134, V=57
75_part2_sec69_frame1560_player_1.jpg: H=32, S=61, V=59
75_part2_sec69_frame1572_player_1.jpg: H=25, S=48, V=58
75_part2_sec69_frame1644_player_1.jpg: H=26, S=35, V=59
75_part2_sec69_frame1656_player_1.jpg: H=33, S=82, V=56
75_part2_sec69_frame1656_player_2.jpg: H=40, S=104, V=59
75_part2_sec69_frame1656_player_3.jpg: H=32, S=78, V=52
75_part2_sec69_frame1668_player_3.jpg: H=33, S=58, V=53
75_part2_sec69_frame168_player_0.jpg: H=155, S=60, V=51
75_part2_sec69_frame168_player_1.jpg: H=124, S=55, V=37
75_part2_sec69_frame168_player_3.jpg: H=128, S=55, V=37
75_part2_sec69_frame1680_player_1.jpg: H=26, S=35, V=51
75_part2_sec69_frame1680_player_6.jpg: H=41, S=94, V=54
75_part2_sec69_frame1704_player_3.jpg: H=42, S=44, V=58
75_part2_sec69_frame1740_player_3.jpg: H=41, S=47, V=60
75_part2_sec69_frame1752_player_5.jpg: H=34, S=35, V=51
75_part2_sec69_frame1752_player_10.jpg: H=30, S=29, V=53
75_part2_sec69_frame1776_player_0.jpg: H=84, S=39, V=33
75_part2_sec69_frame1788_player_0.jpg: H=84, S=39, V=33
75_part2_sec69_frame180_player_1.jpg: H=125, S=79, V=42
75_part2_sec69_frame180_player_3.jpg: H=123, S=82, V=28
75_part2_sec69_frame1800_player_1.jpg: H=100, S=26, V=29
75_part2_sec69_frame1812_player_0.jpg: H=90, S=31, V=33
75_part2_sec69_frame1824_player_0.jpg: H=178, S=64, V=52
75_part2_sec69_frame1836_player_0.jpg: H=98, S=28, V=36
75_part2_sec69_frame1848_player_0.jpg: H=135, S=14, V=37
75_part2_sec69_frame1860_player_2.jpg: H=84, S=30, V=43
75_part2_sec69_frame1872_player_0.jpg: H=99, S=46, V=39
